1121,6,24,31,32,38,44,8,11
1120,2,19,26,31,38,41,34,11
1119,1,9,12,13,20,45,3,19
1118,11,13,14,15,16,45,3,19
1117,3,4,9,30,33,36,7,9
1116,15,16,17,25,30,31,32,10
1115,7,12,23,32,34,36,8,12
1114,10,16,19,32,33,38,3,17
1113,11,13,20,21,32,44,8,14
1112,16,20,26,36,42,44,24,10
1111,3,13,30,33,43,45,4,16
1110,3,7,11,20,22,41,24,16
1109,10,12,13,19,33,40,2,17
1108,7,19,26,37,39,44,27,14
1107,6,14,30,31,40,41,29,14
1106,1,3,4,29,42,45,36,11
1105,6,16,34,37,39,40,11,15
1104,1,7,21,30,35,38,2,15
1103,10,12,29,31,40,44,2,17
1102,13,14,22,26,37,38,20,20
1101,6,7,13,28,36,42,41,13
1100,17,26,29,30,31,43,12,13
1099,3,20,28,38,40,43,4,9
1098,12,16,21,24,41,43,15,13
1097,14,33,34,35,37,40,4,7
1096,1,12,16,19,23,43,34,10
1095,8,14,28,29,34,40,12,10
1094,6,7,15,22,26,40,41,12
1093,10,17,22,30,35,43,44,13
1092,7,18,19,26,33,45,37,16
1091,6,20,23,24,28,30,44,9
1090,12,19,21,29,40,45,1,11
1089,4,18,31,37,42,43,40,9
1088,11,21,22,30,39,44,31,11
1087,13,14,18,21,34,44,16,16
1086,11,16,25,27,35,36,37,17
1085,4,7,17,18,38,44,36,23
1084,8,12,13,29,33,42,5,15
1083,3,7,14,15,22,38,17,15
1082,21,26,27,32,34,42,31,7
1081,1,9,16,23,24,38,17,11
1080,13,16,23,31,36,44,38,7
1079,4,8,18,24,37,45,6,9
1078,6,10,11,14,36,38,43,12
1077,4,8,17,30,40,43,34,7
1076,3,7,9,33,36,37,10,9
1075,1,23,24,35,44,45,10,9
1074,1,6,20,27,28,41,15,12
1073,6,18,28,30,32,38,15,11
1072,16,18,20,23,32,43,27,12
1071,1,2,11,21,30,35,39,5
1070,3,6,14,22,30,41,36,14
1069,1,10,18,22,28,31,44,14
1068,4,7,19,26,33,35,3,19
1067,7,10,19,23,28,33,18,13
1066,6,11,16,19,21,32,45,15
1065,3,18,19,23,32,45,24,14
1064,3,6,9,18,22,35,14,19
1063,3,6,22,23,24,38,30,7
1062,20,31,32,40,41,45,12,7
1061,4,24,27,35,37,45,15,11
1060,3,10,24,33,38,45,36,28
1059,7,10,22,25,34,40,27,13
1058,11,23,25,30,32,40,42,13
1057,8,13,19,27,40,45,12,17
1056,13,20,24,32,36,45,29,14
1055,4,7,12,14,22,33,31,11
1054,14,19,27,28,30,45,33,9
1053,22,26,29,30,34,45,15,7
1052,5,17,26,27,35,38,1,11
1051,21,26,30,32,33,35,44,18
1050,6,12,31,35,38,43,17,17
1049,3,5,13,20,21,37,17,15
1048,6,12,17,21,32,39,30,17
1047,2,20,33,40,42,44,32,9
1046,7,16,25,29,35,36,28,12
1045,6,14,15,19,21,41,37,13
1044,12,17,20,26,28,36,4,8
1043,3,5,12,22,26,31,19,17
1042,5,14,15,23,34,43,4,20
1041,6,7,9,11,17,18,45,25
1040,8,16,26,29,31,36,11,7
1039,2,3,6,19,36,39,26,16
1038,7,16,24,27,37,44,2,15
1037,2,14,15,22,27,33,31,15
1036,2,5,22,32,34,45,39,9
1035,9,14,34,35,41,42,2,8
1034,26,31,32,33,38,40,11,9
1033,3,11,15,20,35,44,10,13
1032,1,6,12,19,36,42,28,10
1031,6,7,22,32,35,36,19,8
1030,2,5,11,17,24,29,9,19
1029,12,30,32,37,39,41,24,10
1028,5,7,12,13,18,35,23,20
1027,14,16,27,35,39,45,5,10
1026,5,12,13,31,32,41,34,15
1025,8,9,20,25,29,33,7,4
1024,9,18,20,22,38,44,10,8
1023,10,14,16,18,29,35,25,9
1022,5,6,11,29,42,45,28,5
1021,12,15,17,24,29,45,16,12
1020,12,27,29,38,41,45,6,13
1019,1,4,13,17,34,39,6,50
1018,3,19,21,25,37,45,35,2
1017,12,18,22,23,30,34,32,7
1016,15,26,28,34,41,42,44,11
1015,14,23,31,33,37,40,44,8
1014,3,11,14,18,26,27,21,10
1013,21,22,26,34,36,41,32,5
1012,5,11,18,20,35,45,3,13
1011,1,9,12,26,35,38,42,11
1010,9,12,15,25,34,36,3,8
1009,15,23,29,34,40,44,20,15
1008,9,11,30,31,41,44,33,11
1007,8,11,16,19,21,25,40,9
1006,8,11,15,16,17,37,36,9
1005,8,13,18,24,27,29,17,12
1004,7,15,30,37,39,44,18,10
1003,1,4,29,39,43,45,31,14
1002,17,25,33,35,38,45,15,8
1001,6,10,12,14,20,42,15,12
1000,2,8,19,22,32,42,39,22
999,1,3,9,14,18,28,34,16
998,13,17,18,20,42,45,41,12
997,4,7,14,16,24,44,20,19
996,6,11,15,24,32,39,28,18
995,1,4,13,29,38,39,7,7
994,1,3,8,24,27,35,28,12
993,6,14,16,18,24,42,44,6
992,12,20,26,33,44,45,24,12
991,13,18,25,31,33,44,38,8
990,2,4,25,26,36,37,28,14
989,17,18,21,27,29,33,26,4
988,2,13,20,30,31,41,27,9
987,2,4,15,23,29,38,7,10
986,7,10,16,28,41,42,40,10
985,17,21,23,30,34,44,19,10
984,3,10,23,35,36,37,18,7
983,13,23,26,31,35,43,15,10
982,5,7,13,20,21,44,33,8
981,27,36,37,41,43,45,32,13
980,3,13,16,23,24,35,14,7
979,7,11,16,21,27,33,24,14
978,1,7,15,32,34,42,8,10
977,2,9,10,14,22,44,16,14
976,4,12,14,25,35,37,2,7
975,7,8,9,17,22,24,5,9
974,1,2,11,16,39,44,32,17
973,22,26,31,37,41,42,24,8
972,3,6,17,23,37,39,26,20
971,2,6,17,18,21,26,7,6
970,9,11,16,21,28,36,5,14
969,3,9,10,29,40,45,7,20
968,2,5,12,14,24,39,33,13
967,1,6,13,37,38,40,9,4
966,1,21,25,29,34,37,36,10
965,2,13,25,28,29,36,34,7
964,6,21,36,38,39,43,30,10
963,6,12,19,23,34,42,35,15
962,1,18,28,31,34,43,40,12
961,11,20,29,31,33,42,43,9
960,2,18,24,30,32,45,14,10
959,1,14,15,24,40,41,35,8
958,2,9,10,16,35,37,1,15
957,4,15,24,35,36,40,1,11
956,10,11,20,21,25,41,40,11
955,4,9,23,26,29,33,8,12
954,1,9,26,28,30,41,32,10
953,7,9,22,27,37,42,34,14
952,4,12,22,24,33,41,38,9
951,2,12,30,31,39,43,38,14
950,3,4,15,22,28,40,10,8
949,14,21,35,36,40,44,30,10
948,13,18,30,31,38,41,5,11
947,3,8,17,20,27,35,26,18
946,9,18,19,30,34,40,20,11
945,9,10,15,30,33,37,26,13
944,2,13,16,19,32,33,42,13
943,1,8,13,36,44,45,39,7
942,10,12,18,35,42,43,39,6
941,12,14,25,27,39,40,35,16
940,3,15,20,22,24,41,11,8
939,4,11,28,39,42,45,6,13
938,4,8,10,16,31,36,9,10
937,2,10,13,22,29,40,26,11
936,7,11,13,17,18,29,43,14
935,4,10,20,32,38,44,18,13
